,lat,lon,elevation,distance,grade
0,40.5557,-105.14367000000001,1587.3400000000001,0.0,
1,40.55554,-105.14368,1587.5800000000002,17.811235826549293,1.291551520231201
2,40.55541,-105.14364,1587.65,32.65632867777508,0.6685549188404867
3,40.555350000000004,-105.1439,1587.94,55.61289084574144,1.3415456800255765
4,40.555220000000006,-105.14426,1589.0700000000002,89.28743819016847,3.2805266420672607
5,40.55501,-105.14451000000001,1590.2600000000002,120.77333758985347,3.651421462643538
6,40.554840000000006,-105.14466,1590.6200000000001,143.53127864569132,1.8773586992209488
7,40.55469,-105.14473000000001,1591.2700000000002,161.22792386003817,3.4772641497858543
8,40.554680000000005,-105.14473000000001,1591.28,162.33987312663646,3.9108347832367745
9,40.554500000000004,-105.1448,1592.2500000000002,183.21038189489235,4.417618507802403
10,40.55436,-105.1448,1592.8200000000002,198.77767162514658,3.7680427272093997
11,40.553759999980024,-105.14475333249398,1595.28,265.6110286371665,3.661148356709629
12,40.55315999994129,-105.14470666582429,1597.2,332.44438564648266,2.9519793095051146
13,40.55256000000001,-105.14466,1600.77,399.2777297091818,5.260009756799947
14,40.551890000073335,-105.14455999799695,1604.0900000000001,474.25588078288956,4.439770397095792
15,40.55122000006043,-105.14445999799506,1607.16,549.2340318562104,4.123111183643573
16,40.55055,-105.14436,1611.0300000000002,624.2121786009938,5.1474476950793235
17,40.54975,-105.14426,1615.9800000000002,713.5684655875573,5.5089227791001765
18,40.54961,-105.14426,1616.64,729.1357553185188,4.8363937595276125
19,40.549380000000006,-105.14436,1619.02,756.0701089788772,8.389310001150541
20,40.54919,-105.14457,1620.6,783.659445863962,7.0906531179854495
21,40.549130000000005,-105.14471,1623.8600000000001,797.2400095254034,18.933028900075453
22,40.549040000000005,-105.14502,1625.0000000000002,825.279089628249,5.822397629991455
23,40.54889,-105.14583,1634.0700000000002,895.7204656954467,12.739279382831382
24,40.54891000000001,-105.14623,1639.19,929.5901990697644,15.122837893300556
25,40.54901,-105.14659,1644.89,961.9758899927094,17.219789762233642
26,40.549200000000006,-105.14686,1648.7200000000003,993.068783001878,11.963103489233722
27,40.54934,-105.14699,1648.7200000000003,1012.1209540172036,2.333348617296428
28,40.549850000000006,-105.14727,1658.1100000000001,1073.5670783067233,14.755652371287379
29,40.55008,-105.14743000000001,1661.16,1102.4949161462853,10.369985266336798
30,40.55066,-105.14771,1663.15,1171.1899642553215,3.159381933058697
31,40.5513750007488,-105.14811499569923,1668.6200000000001,1257.7451162597033,6.1760925991935345
32,40.55209000000001,-105.14852,1670.41,1344.3002581624035,2.0410027747395887
33,40.552200000000006,-105.14853000000001,1669.89,1356.560844802268,-3.3411905438760656
34,40.55232,-105.14851,1669.21,1370.010801330198,-6.234938144225454
35,40.55241,-105.14843,1667.55,1382.0870041170447,-11.563401987273503
36,40.55294000000001,-105.14762,1660.5100000000002,1472.3995674206528,-7.847280097415271
37,40.55303000000001,-105.14753,1660.1100000000001,1484.9681134308325,-3.835515688238721
38,40.55313,-105.14750000000001,1659.78,1496.3728166777014,-2.8727530880164354
39,40.553250000000006,-105.14749,1659.4,1509.7429280947094,-2.4668569825142894
40,40.55409666695246,-105.14765332921337,1659.7100000000003,1604.8938776924422,0.27831397939028857
41,40.55494333367492,-105.1478166625574,1660.05,1700.0448272910699,0.3560402030592587
42,40.55579,-105.14798,1660.3400000000001,1795.1957580793592,0.30436571428580467
43,40.555800000000005,-105.14798,1660.3400000000001,1796.3077073459574,0.28297943645113216
44,40.55603,-105.14802,1660.4200000000003,1822.1048349354746,0.4031690980483753
45,40.55615,-105.14807,1660.6900000000003,1836.100881147989,1.7498757436038266
46,40.556250000000006,-105.14817000000001,1661.0200000000002,1850.0656864696814,2.732985080571465
47,40.55631,-105.1483,1661.8100000000002,1862.9160218434333,5.8340493610729505
48,40.55635,-105.14847,1662.94,1877.95095784023,7.828631747645769
49,40.556400000000004,-105.14896,1667.63,1919.718899143927,11.20028771436958
50,40.55644,-105.14914,1669.93,1935.5627950924463,14.488494138582361
51,40.55659,-105.14941,1674.8,1963.82051080464,16.888665139797528
52,40.55669,-105.14951,1676.65,1977.7852825384211,13.049872155314
53,40.557260001295134,-105.14989332682494,1682.26,2048.9604019102026,8.073485596399271
54,40.55783000132334,-105.15027666017716,1690.3600000000001,2120.13552128009,11.233510643757898
55,40.558400000000006,-105.15066,1696.0400000000002,2191.3106300863847,8.14503212123813
56,40.55906000232045,-105.15108498741982,1705.9400000000003,2273.0107915755298,12.035834450151658
57,40.559720003083605,-105.15150998321951,1715.84,2354.7109530619528,12.033544533388097
58,40.560380002289406,-105.15193498739944,1721.8300000000002,2436.4111145445117,7.364157308259176
59,40.561040000000006,-105.15236,1725.7000000000003,2518.111283726479,4.7512377280420095
60,40.56183,-105.15283000000001,1728.46,2614.5111095766165,2.8730647465591788
61,40.56240500045986,-105.1531149976062,1729.45,2682.8306915842277,1.4202693629487713
62,40.56298,-105.1534,1728.7500000000002,2751.1502475231287,-1.0667691833275306
63,40.56376400154884,-105.1536999859429,1723.91,2841.935588151471,-5.200502502760218
64,40.56454800232176,-105.15399997891339,1721.81,2932.7209287801343,-2.324735915448505
65,40.56533200231867,-105.15429997891185,1721.88,3023.5062694052954,0.03524260715293263
66,40.56611600153958,-105.15459998593862,1722.01,3114.291610029243,0.1373607407532386
67,40.566900000000004,-105.15490000000001,1721.88,3205.0769524572734,-0.13985069418969115
68,40.56729,-105.15502000000001,1721.78,3249.611821504449,-0.22375959794423253
69,40.5681,-105.15519,1721.5200000000002,3340.8171881971125,-0.3247134204783026
